Last login: Sat Mar 22 05:39:27 on console
Brandons-MacBook-Pro-3:~ brandon$ cd Documents/CS149_Assignment4/HW4_src/
Brandons-MacBook-Pro-3:HW4_src brandon$ ls
Page.class	Swap.class	hw4.zip		swapOutput.txt
Page.java	Swap.java	pageOutput.txt
Brandons-MacBook-Pro-3:HW4_src brandon$ javac Page.java
Brandons-MacBook-Pro-3:HW4_src brandon$ java Page
-1 indicates empty page frame

FIFO Simulation
------------------------------------------------------------------------------------------------------------------------
---------- Run 1 ----------
Time		Frame_1		Frame_2		Frame_3		Frame_4		Hit?		Page_In		Evicted
43		6		5		0		1		Hit		0		0
44		6		5		0		1		Hit		1		1
45		6		5		0		1		Hit		0		0
46		6		5		0		1		Hit		1		1
47		6		5		2		1		Fault		2		0
48		6		5		2		1		Hit		1		1
49		6		5		2		1		Hit		1		1
50		6		5		0		1		Fault		0		2
51		6		5		0		1		Hit		1		1
52		6		5		0		1		Hit		0		0
53		6		5		0		1		Hit		0		0
54		6		5		0		1		Hit		1		1
55		6		5		3		1		Fault		3		0
56		6		5		2		1		Fault		2		3
57		6		5		2		1		Hit		1		1
58		6		5		2		1		Hit		2		2
59		6		5		2		1		Hit		1		1
60		6		5		0		1		Fault		0		2
61		6		5		0		1		Hit		1		1
62		6		5		0		1		Hit		1		1
63		6		5		2		1		Fault		2		0
64		6		5		2		1		Hit		5		5
65		6		5		4		1		Fault		4		2
66		6		5		4		1		Hit		4		4
67		6		5		4		1		Hit		5		5
68		6		5		4		1		Hit		4		4
69		6		5		4		1		Hit		5		5
70		6		5		4		1		Hit		1		1
71		6		5		8		1		Fault		8		4
72		6		5		8		1		Hit		1		1
73		6		5		8		1		Hit		5		5
74		6		5		7		1		Fault		7		8
75		6		5		7		1		Hit		6		6
76		6		5		7		1		Hit		5		5
77		6		5		4		1		Fault		4		7
78		6		5		4		1		Hit		5		5
79		6		5		4		1		Hit		4		4
80		6		5		4		1		Hit		4		4
81		6		5		3		1		Fault		3		4
82		6		5		8		1		Fault		8		3
83		6		5		3		1		Fault		3		8
84		6		5		2		1		Fault		2		3
85		6		5		3		1		Fault		3		2
86		6		5		3		1		Hit		6		6
87		6		5		3		1		Hit		1		1
88		6		5		3		1		Hit		1		1
89		6		5		3		1		Hit		1		1
90		6		5		2		1		Fault		2		3
91		6		5		2		1		Hit		1		1
92		6		5		0		1		Fault		0		2
93		6		5		3		1		Fault		3		0
94		6		5		3		1		Hit		3		3
95		6		5		3		1		Hit		3		3
96		6		5		4		1		Fault		4		3
97		6		5		3		1		Fault		3		4
98		6		5		2		1		Fault		2		3
99		6		5		2		1		Hit		1		1

---------- Run 2 ----------
Time		Frame_1		Frame_2		Frame_3		Frame_4		Hit?		Page_In		Evicted
0		0		-1		-1		-1		Fault		0		-1
1		0		-1		-1		-1		Hit		0		0
2		0		1		-1		-1		Fault		1		-1
3		0		1		-1		-1		Hit		1		1
4		0		1		-1		-1		Hit		1		1
5		0		1		-1		-1		Hit		0		0
6		0		1		-1		-1		Hit		1		1
7		0		1		-1		-1		Hit		0		0
8		0		1		-1		-1		Hit		1		1
9		0		1		2		-1		Fault		2		-1
10		0		1		2		8		Fault		8		-1
11		0		1		2		8		Hit		1		1
12		0		1		2		8		Hit		2		2
13		0		1		2		8		Hit		2		2
14		0		1		2		3		Fault		3		8
15		0		1		2		4		Fault		4		3
16		0		1		2		4		Hit		0		0
17		0		1		2		4		Hit		1		1
18		0		1		2		3		Fault		3		4
19		0		1		2		3		Hit		3		3
20		0		1		2		3		Hit		2		2
21		0		1		2		3		Hit		3		3
22		0		1		2		3		Hit		2		2
23		0		1		2		3		Hit		2		2
24		0		1		2		3		Hit		2		2
25		0		1		2		3		Hit		2		2
26		0		1		2		3		Hit		3		3
27		0		1		2		8		Fault		8		3
28		0		1		2		4		Fault		4		8
29		0		1		2		3		Fault		3		4
30		0		1		2		3		Hit		2		2
31		0		1		2		3		Hit		1		1
32		0		1		2		4		Fault		4		3
33		0		1		2		5		Fault		5		4
34		0		1		2		5		Hit		0		0
35		0		1		2		5		Hit		2		2
36		0		1		2		5		Hit		2		2
37		0		1		2		5		Hit		1		1
38		0		1		2		5		Hit		0		0
39		0		1		2		5		Hit		1		1
40		0		1		2		5		Hit		1		1
41		0		1		2		5		Hit		1		1
42		0		1		2		5		Hit		1		1
43		0		1		2		5		Hit		2		2
44		0		1		2		5		Hit		1		1
45		0		1		2		7		Fault		7		5
46		0		1		2		7		Hit		7		7
47		0		1		2		7		Hit		0		0
48		0		1		2		7		Hit		1		1
49		0		1		2		7		Hit		1		1
50		0		1		2		7		Hit		1		1
51		0		1		2		7		Hit		1		1
52		0		1		2		7		Hit		0		0
53		0		1		2		7		Hit		1		1
54		0		1		2		7		Hit		2		2
55		0		1		2		7		Hit		2		2
56		0		1		2		3		Fault		3		7
57		0		1		2		3		Hit		3		3
58		0		1		2		3		Hit		3		3
59		0		1		2		3		Hit		3		3
60		0		1		2		3		Hit		3		3
61		0		1		2		3		Hit		3		3
62		0		1		2		4		Fault		4		3
63		0		1		2		5		Fault		5		4
64		0		1		2		6		Fault		6		5
65		0		1		2		6		Hit		6		6
66		0		1		2		7		Fault		7		6
67		0		1		2		7		Hit		0		0
68		0		1		2		7		Hit		0		0
69		0		1		2		7		Hit		1		1
70		0		1		2		7		Hit		0		0
71		0		1		2		7		Hit		0		0
72		0		1		2		7		Hit		1		1
73		0		1		2		7		Hit		1		1
74		0		1		2		7		Hit		0		0
75		0		1		2		7		Hit		0		0
76		0		1		2		7		Hit		1		1
77		0		1		2		7		Hit		1		1
78		0		1		2		7		Hit		0		0
79		0		1		2		7		Hit		0		0
80		0		1		2		7		Hit		1		1
81		0		1		2		7		Hit		1		1
82		0		1		2		4		Fault		4		7
83		0		1		2		3		Fault		3		4
